Temperature,Humidity,HeartRate,SpO2,HeatIndex,Label
40.19,79.04,145.7,94.3,55.55,DANGER
32.75,54.61,112.9,96.3,37.66,WARNING
33.88,82.84,128.8,95.2,44.27,WARNING
25.79,45.16,69.0,98.1,26.72,SAFE
40.09,42.4,134.5,92.9,46.41,DANGER
35.67,70.9,140.1,93.4,45.27,DANGER
26.0,21.46,116.5,100.0,24.37,SAFE
34.59,53.63,150.7,96.0,40.29,DANGER
28.98,40.12,115.3,96.6,30.26,WARNING
34.17,98.0,130.7,95.3,47.46,DANGER
35.56,60.35,136.5,93.9,43.06,DANGER
29.11,39.36,124.9,97.7,30.32,WARNING
37.47,73.33,138.4,96.2,48.98,DANGER
40.43,77.97,190.0,92.5,55.77,CRITICAL
36.52,57.32,161.3,96.1,44.04,DANGER
23.46,32.67,97.0,98.4,22.56,SAFE
33.06,69.19,130.8,98.6,40.53,WARNING
42.26,71.62,140.2,94.5,57.82,DANGER
39.25,78.92,136.5,96.9,53.64,DANGER
35.33,58.8,127.5,94.4,42.39,WARNING
31.75,42.52,146.1,96.5,34.31,WARNING
39.12,54.78,133.8,94.1,47.79,DANGER
39.44,71.13,168.5,89.5,52.18,CRITICAL
39.06,91.61,157.5,92.9,56.17,DANGER
29.68,50.27,108.6,97.0,32.57,SAFE
37.01,53.1,149.9,93.7,43.96,DANGER
24.24,57.05,141.0,96.8,25.92,WARNING
33.56,48.63,114.4,94.6,37.85,WARNING
32.25,71.05,122.1,99.0,39.52,WARNING
37.07,77.13,121.4,96.9,49.04,WARNING
30.79,46.25,86.1,98.3,33.54,SAFE
28.54,61.37,125.9,99.4,32.41,WARNING
39.36,80.64,170.7,89.4,54.25,CRITICAL
34.0,60.7,138.5,97.8,40.61,WARNING
25.69,18.26,110.3,98.6,23.68,SAFE
25.22,32.09,82.8,100.0,24.61,SAFE
32.68,57.43,131.5,96.5,38.01,WARNING
40.49,75.69,174.5,90.8,55.33,CRITICAL
40.51,84.38,169.9,91.9,57.52,CRITICAL
39.11,71.26,184.1,88.3,51.58,CRITICAL
35.19,98.0,124.8,95.6,49.49,WARNING
24.91,48.28,92.5,97.5,25.91,SAFE
28.16,46.2,142.7,97.0,29.96,WARNING
42.63,85.73,145.2,91.8,62.49,CRITICAL
43.3,54.56,182.4,88.0,55.03,CRITICAL
31.78,51.12,123.3,95.5,35.67,WARNING
41.59,70.75,158.3,92.2,56.25,CRITICAL
31.7,68.98,131.4,97.2,38.31,WARNING
37.0,58.72,143.9,94.3,45.11,DANGER
34.85,54.46,142.5,97.5,40.83,DANGER
26.63,33.45,72.5,97.8,26.46,SAFE
38.36,47.39,140.3,97.2,44.89,WARNING
20.6,33.26,81.2,98.8,19.25,SAFE
28.01,16.79,79.1,96.0,26.1,SAFE
27.68,37.94,96.9,96.7,28.31,SAFE
35.13,98.0,149.1,94.1,49.38,DANGER
41.61,71.59,153.4,92.0,56.5,CRITICAL
29.62,70.8,134.4,97.1,35.29,WARNING
36.46,64.77,160.2,97.4,45.44,DANGER
42.3,48.8,161.8,90.4,51.66,CRITICAL
45.19,63.66,182.1,91.4,61.42,CRITICAL
34.86,61.53,153.7,94.9,42.14,DANGER
23.12,36.61,78.1,97.2,22.53,SAFE
42.51,83.39,140.9,96.4,61.58,DANGER
41.48,61.72,141.2,94.5,53.66,DANGER
32.89,42.21,124.2,98.4,35.83,WARNING
26.42,38.71,81.3,95.8,26.8,SAFE
23.09,32.55,93.8,98.4,22.12,SAFE
37.64,96.39,179.9,91.4,54.22,CRITICAL
37.5,71.12,171.6,95.6,48.58,DANGER
30.76,50.71,78.1,98.5,34.15,SAFE
34.41,54.39,138.2,95.0,40.14,WARNING
37.55,64.98,168.0,90.7,47.36,CRITICAL
34.75,59.01,148.5,94.4,41.51,DANGER
32.62,48.96,139.0,94.3,36.55,WARNING
36.15,65.39,154.2,93.8,45.02,DANGER
37.37,87.25,160.4,95.0,51.74,DANGER
28.18,18.18,104.4,97.5,26.47,WARNING
33.74,47.94,112.5,96.3,38.0,WARNING
37.81,74.75,147.9,95.2,49.91,DANGER
45.47,53.04,159.7,91.5,58.57,CRITICAL
30.55,47.74,87.6,98.0,33.42,SAFE
30.26,28.06,135.1,97.0,30.23,DANGER
22.46,20.87,99.7,97.2,20.32,SAFE
41.45,56.72,154.8,91.7,52.29,CRITICAL
47.53,52.78,184.5,89.3,62.43,CRITICAL
30.87,29.52,125.6,98.0,31.2,WARNING
38.18,82.64,142.6,96.0,52.34,DANGER
35.98,32.57,159.3,95.5,38.33,DANGER
32.8,65.64,125.1,97.9,39.54,WARNING
32.1,45.88,137.8,96.3,35.32,WARNING
31.92,50.9,106.5,94.0,35.85,WARNING
36.6,68.01,160.2,92.8,46.33,CRITICAL
38.42,69.21,143.6,92.9,49.83,DANGER
38.27,66.73,146.8,94.1,49.01,DANGER
33.61,74.97,117.6,96.0,42.45,WARNING
33.2,62.33,144.1,96.4,39.63,WARNING
42.14,88.9,178.2,93.4,62.26,CRITICAL
40.2,93.17,168.8,94.2,59.02,CRITICAL
43.57,74.93,167.0,91.1,61.48,CRITICAL
25.44,38.67,95.9,97.4,25.58,SAFE
28.19,75.76,137.7,97.7,33.71,WARNING
26.6,40.95,94.6,99.3,27.29,SAFE
31.81,77.95,122.0,95.9,39.87,WARNING
36.45,53.9,150.2,93.6,43.23,DANGER
30.03,68.6,111.7,97.3,35.62,WARNING
33.7,15.07,134.8,96.7,32.3,WARNING
32.42,51.89,143.4,98.2,36.72,WARNING
30.98,36.24,82.4,99.0,32.32,SAFE
43.22,86.53,163.9,92.5,64.06,CRITICAL
28.42,61.03,122.0,96.5,32.19,WARNING
27.03,77.36,100.6,98.7,32.11,SAFE
35.19,53.61,151.7,94.5,41.2,DANGER
37.82,61.77,128.3,93.9,47.14,DANGER
30.08,72.7,75.1,98.0,36.27,SAFE
41.32,90.7,166.1,91.8,60.89,CRITICAL
23.68,45.27,59.3,99.3,24.04,SAFE
26.24,54.52,109.7,95.7,28.35,WARNING
46.02,80.35,170.5,92.0,68.68,CRITICAL
35.3,68.23,148.5,93.4,44.13,DANGER
25.86,53.06,83.8,97.9,27.68,SAFE
36.41,30.18,128.4,92.5,38.43,DANGER
37.89,73.77,155.3,91.0,49.85,DANGER
32.78,46.19,132.0,96.6,36.33,WARNING
36.52,72.2,154.3,96.5,47.02,DANGER
34.94,31.28,112.1,96.1,36.7,WARNING
33.43,48.55,116.9,98.4,37.65,WARNING
30.45,47.06,129.6,96.5,33.19,WARNING
19.28,38.96,68.0,97.7,18.14,SAFE
36.55,72.38,158.9,95.4,47.13,DANGER
40.22,65.11,144.1,95.2,52.2,DANGER
41.71,34.57,153.5,91.7,46.88,WARNING
41.85,42.99,165.2,94.7,49.34,CRITICAL
38.51,20.07,127.4,95.8,39.0,WARNING
37.26,49.36,148.2,96.6,43.59,DANGER
36.33,72.8,153.2,94.6,46.81,DANGER
42.1,59.57,177.3,93.8,54.24,CRITICAL
40.16,73.32,144.3,91.9,54.09,DANGER
30.71,74.23,132.0,95.1,37.49,WARNING
39.47,75.5,183.0,88.0,53.26,CRITICAL
35.42,71.37,145.1,89.7,44.92,DANGER
33.58,64.27,135.5,93.9,40.57,DANGER
37.91,76.8,153.7,91.5,50.56,DANGER
26.28,33.0,104.0,97.2,25.99,SAFE
34.33,70.88,130.7,95.7,42.95,WARNING
28.6,69.64,101.9,95.2,33.57,WARNING
36.09,75.14,135.4,93.2,46.84,DANGER
40.03,93.53,171.0,91.6,58.74,CRITICAL
39.59,90.94,170.0,91.6,57.16,CRITICAL
41.88,70.12,163.1,93.8,56.66,CRITICAL
31.6,44.46,120.1,94.7,34.4,WARNING
43.91,85.01,175.0,92.1,65.2,CRITICAL
23.45,51.29,89.6,100.0,24.32,SAFE
35.21,60.01,131.3,96.7,42.43,WARNING
35.15,71.35,126.9,94.5,44.45,WARNING
27.38,81.31,90.2,97.9,33.14,SAFE
45.99,80.43,165.6,93.5,68.62,CRITICAL
34.98,72.53,152.4,90.4,44.38,DANGER
33.03,50.71,87.4,97.5,37.43,SAFE
41.59,74.57,166.4,90.9,57.26,CRITICAL
23.1,50.31,86.5,97.3,23.78,SAFE
27.14,26.02,78.5,99.2,26.22,SAFE
40.19,62.52,163.5,97.3,51.51,DANGER
22.84,28.41,97.9,98.1,21.44,SAFE
42.47,88.17,155.2,90.9,62.81,CRITICAL
20.72,47.83,85.6,98.2,20.57,SAFE
36.78,63.38,166.0,94.6,45.7,CRITICAL
32.86,35.24,121.7,95.7,34.64,WARNING
33.39,75.18,130.9,93.8,42.1,DANGER
38.23,88.68,172.6,88.0,53.78,CRITICAL
28.75,61.27,91.2,96.3,32.7,SAFE
46.55,76.51,174.1,92.4,68.63,CRITICAL
40.84,91.74,185.7,92.4,60.1,CRITICAL
25.06,54.9,116.9,96.4,26.8,WARNING
32.17,60.7,114.4,97.6,37.76,WARNING
45.13,68.02,160.6,91.6,62.68,CRITICAL
26.53,19.82,113.5,98.8,24.8,SAFE
37.24,59.62,139.7,93.6,45.7,DANGER
26.55,44.94,77.0,96.4,27.69,SAFE
25.05,70.52,99.8,99.8,28.42,SAFE
32.05,53.55,134.0,99.1,36.45,WARNING
28.55,45.78,71.8,96.2,30.43,SAFE
39.45,74.42,172.1,90.2,52.97,CRITICAL
23.18,50.73,84.0,98.5,23.92,SAFE
44.34,46.41,164.3,93.6,54.46,CRITICAL
37.55,80.7,127.8,95.6,50.7,WARNING
40.68,72.34,165.4,90.5,54.87,CRITICAL
33.99,60.06,122.5,94.4,40.49,WARNING
31.02,45.21,110.3,98.3,33.7,WARNING
41.05,86.58,178.7,93.0,59.24,CRITICAL
39.92,77.92,160.9,91.0,54.72,CRITICAL
39.88,90.25,176.0,91.1,57.61,CRITICAL
43.05,72.57,153.3,94.6,59.72,DANGER
30.25,65.54,63.3,99.6,35.53,SAFE
